Airline_Name,Country,Passengers_May,Passengers_May_LY,Passengers_YoY,MarketShare_Passengers,Freight_2024_t,Freight_2025_t,Freight_YoY,MarketShare_Freight,Mail_2024_t,Mail_2025_t,Mail_YoY,MarketShare_Mail
Air Caledonie International,New Caledonia,5153.0,3548.0,0.452,0.002,22.7,42.3,0.863,0.0,0.4,2.1,3.964,0.001
Air Canada,Canada,26036.0,27444.0,-0.051,0.008,906.2,735.2,-0.18899999999999997,0.008,33.2,25.0,-0.247,0.012
Air China,China,15689.0,17975.0,-0.127,0.005,722.4,385.3,-0.467,0.004,2.8,1.9,-0.32899999999999996,0.001
Air India,India,27350.0,31863.0,-0.142,0.008,627.6,819.1,0.305,0.009000000000000001,26.1,11.2,-0.5710000000000001,0.005
Air Mauritius,Mauritius,3671.0,4054.0,-0.094,0.001,91.1,56.3,-0.381,0.001,,,,
Air New Zealand,New Zealand,215882.0,213912.0,0.009000000000000001,0.064,3589.9,2973.1,-0.172,0.033,159.6,220.8,0.384,0.102
Air Niugini,Papua New Guinea,11141.0,10350.0,0.076,0.003,417.9,371.9,-0.11,0.004,,,,
Air Vanuatu,Vanuatu,,1589.0,-1.0,,2.8,,-1.0,,0.9,,-1.0,
AirAsia Berhad,Malaysia,12475.0,7721.0,0.616,0.004,,,,,,,,
AirAsia X,Malaysia,21865.0,32728.0,-0.332,0.006999999999999999,764.7,620.1,-0.18899999999999997,0.006999999999999999,,,,
All Nippon Airways,Japan,24298.0,19921.0,0.22,0.006999999999999999,950.0,1442.0,0.518,0.016,1.5,4.6,2.1590000000000003,0.002
American Airlines,USA,15073.0,15688.0,-0.039,0.005,689.8,505.9,-0.267,0.006,23.1,52.4,1.268,0.024
Asiana Airlines,Korea,15352.0,16664.0,-0.079,0.005,424.6,280.8,-0.33899999999999997,0.003,,,,
Batik Air Indonesia,Indonesia,11829.0,13432.0,-0.11900000000000001,0.004,,,,,,,,
Beijing Capital Airlines,China,11909.0,3611.0,2.298,0.004,228.7,514.9,1.251,0.006,,,,
British Airways,Singapore,4609.0,4651.0,-0.009000000000000001,0.001,252.0,226.2,-0.102,0.003,1.2,,-1.0,
British Airways,UK,6680.0,6228.0,0.073,0.002,264.5,264.1,-0.002,0.003,31.0,25.6,-0.174,0.012
Cathay Pacific Airways,Hong Kong (SAR),145155.0,97484.0,0.489,0.043,6046.4,6794.7,0.124,0.075,128.1,87.0,-0.321,0.04
Cebu Pacific Air,Philippines,24764.0,20354.0,0.217,0.006999999999999999,503.9,695.2,0.38,0.008,,,,
China Airlines,New Zealand,2974.0,3449.0,-0.138,0.001,146.1,160.6,0.099,0.002,,,,
China Airlines,Taiwan,24804.0,21645.0,0.146,0.006999999999999999,964.8,896.4,-0.071,0.01,48.7,47.5,-0.025,0.022000000000000002
China Eastern Airlines,China,65688.0,57710.0,0.138,0.02,2807.9,2794.1,-0.005,0.031,9.2,24.6,1.669,0.011000000000000001
China Eastern Airlines,New Zealand,2201.0,1802.0,0.221,0.001,14.2,29.9,1.109,0.0,,0.2,,0.0
China Southern Airlines,China,72556.0,67622.0,0.073,0.022000000000000002,2799.5,4048.9,0.446,0.045,40.4,37.8,-0.063,0.017
Citilink Indonesia,Indonesia,,4337.0,-1.0,,28.8,,-1.0,,,,,
Delta Air Lines,USA,13382.0,12189.0,0.098,0.004,468.3,322.9,-0.31,0.004,29.5,11.6,-0.608,0.005
Emirates,Hong Kong (SAR),,,,,5.3,0.8,-0.8540000000000001,0.0,,,,
Emirates,New Zealand,8315.0,6674.0,0.24600000000000002,0.002,478.2,805.6,0.685,0.009000000000000001,,,,
Emirates,Singapore,,3699.0,-1.0,,273.3,,-1.0,,,,,
Emirates,United Arab Emirates,201142.0,175043.0,0.149,0.06,5055.0,6256.8,0.23800000000000002,0.069,69.9,84.6,0.21,0.039
Etihad Airways,United Arab Emirates,35335.0,32322.0,0.09300000000000001,0.011000000000000001,1114.9,918.2,-0.17600000000000002,0.01,28.5,34.7,0.22,0.016
Eva Air,Taiwan,7695.0,6262.0,0.22899999999999998,0.002,316.4,406.9,0.28600000000000003,0.005,0.8,0.8,-0.017,0.0
Federal Express Corporation,China,,,,,958.6,415.5,-0.5670000000000001,0.005,,,,
Federal Express Corporation,New Zealand,,,,,30.1,113.1,2.759,0.001,,,,
Federal Express Corporation,Singapore,,,,,1120.5,1284.6,0.147,0.013999999999999999,,,,
Federal Express Corporation,USA,,,,,1058.7,955.3,-0.098,0.011000000000000001,,,,
Fiji Airways,Fiji,64842.0,58038.0,0.11699999999999999,0.019,851.4,939.9,0.10400000000000001,0.01,9.8,5.0,-0.48700000000000004,0.002
Garuda Indonesia,Indonesia,26289.0,24818.0,0.059000000000000004,0.008,1625.6,1020.9,-0.37200000000000005,0.011000000000000001,10.7,7.7,-0.285,0.004
Hainan Airlines,China,12562.0,11858.0,0.059000000000000004,0.004,469.5,555.7,0.183,0.006,,,,
Hawaiian Airlines,USA,8458.0,9108.0,-0.071,0.003,221.2,253.7,0.147,0.003,,,,
Indonesia AirAsia,Indonesia,39856.0,37617.0,0.06,0.012,240.2,,-1.0,,,,,
Japan Airlines,Japan,15209.0,14384.0,0.057,0.005,781.1,605.9,-0.22399999999999998,0.006999999999999999,25.5,22.2,-0.13,0.01
Jetstar,Cook Islands,6719.0,5722.0,0.174,0.002,,0.1,,0.0,,,,
Jetstar,Fiji,9408.0,9218.0,0.021,0.003,,1.1,,0.0,,,,
Jetstar,Indonesia,177305.0,152176.0,0.165,0.053,135.5,57.3,-0.5770000000000001,0.001,,,,
Jetstar,Japan,59787.0,50305.0,0.188,0.018000000000000002,473.3,535.1,0.131,0.006,14.7,9.6,-0.34700000000000003,0.004
Jetstar,Korea,18295.0,16231.0,0.127,0.005,197.4,299.8,0.519,0.003,2.8,4.9,0.7659999999999999,0.002
Jetstar,New Zealand,88566.0,75614.0,0.171,0.026000000000000002,6.9,8.6,0.23399999999999999,0.0,9.7,17.3,0.787,0.008
Jetstar,Singapore,23790.0,15187.0,0.5660000000000001,0.006999999999999999,240.6,247.2,0.027000000000000003,0.003,,,,
Jetstar,Thailand,50334.0,23807.0,1.114,0.015,289.5,485.5,0.677,0.005,1.4,1.5,0.057999999999999996,0.001
Jetstar,USA,7226.0,12414.0,-0.418,0.002,192.4,153.6,-0.20199999999999999,0.002,,,,
Jetstar,Vanuatu,4126.0,,,0.001,,5.3,,0.0,,0.8,,0.0
Jetstar,Vietnam,19537.0,13269.0,0.47200000000000003,0.006,220.3,273.3,0.24100000000000002,0.003,1.8,1.9,0.07,0.001
Jetstar Asia,Singapore,1288.0,,,0.0,,,,,,,,
Juneyao Air,China,15578.0,,,0.005,,696.3,,0.008,,,,
Korean Air,Korea,23161.0,21873.0,0.059000000000000004,0.006999999999999999,727.0,714.1,-0.018000000000000002,0.008,31.1,33.7,0.083,0.016
LATAM Airlines,Chile,15997.0,12354.0,0.295,0.005,675.8,557.5,-0.175,0.006,94.1,52.8,-0.439,0.024
LATAM Airlines,New Zealand,4126.0,6372.0,-0.35200000000000004,0.001,84.1,83.2,-0.01,0.001,0.0,,-1.0,
Malaysia Airlines,Malaysia,80052.0,77444.0,0.034,0.024,3380.0,2938.4,-0.131,0.033,13.8,31.4,1.281,0.015
Malindo Air,Indonesia,32631.0,30341.0,0.075,0.01,,1.6,,0.0,,,,
Malindo Air,Malaysia,11285.0,11648.0,-0.031,0.003,40.5,40.7,0.004,0.0,,,,
Malindo Air,New Zealand,,2822.0,-1.0,,,,,,,,,
Nauru Airlines,Nauru,1762.0,1262.0,0.396,0.001,86.2,89.8,0.042,0.001,0.2,3.6,,0.002
Nauru Airlines,Palau,,49.0,-1.0,,2.3,,-1.0,,,,,
Nauru Airlines,Solomon Islands,,,,,,37.9,,0.0,,,,
Philippine Airlines,Philippines,33861.0,28978.0,0.16899999999999998,0.01,931.0,762.3,-0.18100000000000002,0.008,,3.7,,0.002
Qantas Airways,Botswana,,,,,67.5,,-1.0,,,,,
Qantas Airways,Canada,5589.0,5376.0,0.04,0.002,43.5,45.0,0.035,0.0,35.9,43.0,0.196,0.02
Qantas Airways,Chile,6648.0,6945.0,-0.043,0.002,98.1,33.6,-0.6579999999999999,0.0,2.9,1.5,-0.485,0.001
Qantas Airways,China,,8024.0,-1.0,,370.7,59.7,-0.8390000000000001,0.001,3.2,,-1.0,
Qantas Airways,East Timor,2663.0,2342.0,0.13699999999999998,0.001,1.3,0.4,-0.655,0.0,4.8,9.1,0.9009999999999999,0.004
Qantas Airways,Fiji,9326.0,9689.0,-0.037000000000000005,0.003,0.1,0.0,-0.917,0.0,1.0,1.8,0.885,0.001
Qantas Airways,France,4458.0,,,0.001,,43.0,,0.0,,8.2,,0.004
Qantas Airways,Hong Kong (SAR),23748.0,20973.0,0.132,0.006999999999999999,1462.9,1465.0,0.001,0.016,31.3,15.2,-0.514,0.006999999999999999
Qantas Airways,India,13562.0,15024.0,-0.09699999999999999,0.004,92.2,128.7,0.397,0.001,1.3,5.9,3.4360000000000004,0.003
Qantas Airways,Indonesia,36061.0,33957.0,0.062,0.011000000000000001,428.4,503.5,0.175,0.006,29.5,14.5,-0.511,0.006999999999999999
Qantas Airways,Japan,58007.0,54314.0,0.068,0.017,355.6,853.9,1.401,0.009000000000000001,72.4,84.0,0.16,0.039
Qantas Airways,Korea,970.0,8058.0,-0.88,0.0,71.8,4.7,-0.935,0.0,13.4,0.4,-0.972,0.0
