City,Metric,Direction,Year,Value,Perc_Change_pp,Perc_Change_0_1
Adelaide,Aircraft Movements,Inbound,2024,201.0,26.9,0.26899999999999996
Adelaide,Aircraft Movements,Inbound,2025,255.0,26.9,0.26899999999999996
Adelaide,Aircraft Movements,Outbound,2024,199.0,29.6,0.29600000000000004
Adelaide,Aircraft Movements,Outbound,2025,258.0,29.6,0.29600000000000004
Adelaide,Freight (Tonnes),Inbound,2024,538.9,68.0,0.68
Adelaide,Freight (Tonnes),Inbound,2025,905.4,68.0,0.68
Adelaide,Freight (Tonnes),Outbound,2024,644.7,130.1,1.301
Adelaide,Freight (Tonnes),Outbound,2025,1483.3,130.1,1.301
Adelaide,Passengers,Inbound,2024,35227.0,26.1,0.261
Adelaide,Passengers,Inbound,2025,44413.0,26.1,0.261
Adelaide,Passengers,Outbound,2024,37267.0,24.4,0.244
Adelaide,Passengers,Outbound,2025,46353.0,24.4,0.244
Brisbane,Aircraft Movements,Inbound,2024,1206.0,12.0,0.12
Brisbane,Aircraft Movements,Inbound,2025,1353.0,12.0,0.12
Brisbane,Aircraft Movements,Outbound,2024,1204.0,12.0,0.12
Brisbane,Aircraft Movements,Outbound,2025,1351.0,12.0,0.12
Brisbane,Freight (Tonnes),Inbound,2024,4767.8,17.0,0.17
Brisbane,Freight (Tonnes),Inbound,2025,5579.5,17.0,0.17
Brisbane,Freight (Tonnes),Outbound,2024,4205.0,11.6,0.11599999999999999
Brisbane,Freight (Tonnes),Outbound,2025,4693.3,11.6,0.11599999999999999
Brisbane,Passengers,Inbound,2024,221626.0,18.0,0.18
Brisbane,Passengers,Inbound,2025,261414.0,18.0,0.18
Brisbane,Passengers,Outbound,2024,231012.0,13.6,0.136
Brisbane,Passengers,Outbound,2025,262439.0,13.6,0.136
Broome,Aircraft Movements,Inbound,2024,,,
Broome,Aircraft Movements,Inbound,2025,9.0,,
Broome,Aircraft Movements,Outbound,2024,,,
Broome,Aircraft Movements,Outbound,2025,9.0,,
Broome,Freight (Tonnes),Inbound,2024,,,
Broome,Freight (Tonnes),Inbound,2025,,,
Broome,Freight (Tonnes),Outbound,2024,,,
Broome,Freight (Tonnes),Outbound,2025,,,
Broome,Passengers,Inbound,2024,,,
Broome,Passengers,Inbound,2025,623.0,,
