City,Passengers_In_2024,Passengers_In_2025,Passengers_In_YoY_pp,Passengers_In_YoY,Passengers_Out_2024,Passengers_Out_2025,Passengers_Out_YoY_pp,Passengers_Out_YoY,Freight (Tonnes)_In_2024,Freight (Tonnes)_In_2025,Freight (Tonnes)_In_YoY_pp,Freight (Tonnes)_In_YoY,Freight (Tonnes)_Out_2024,Freight (Tonnes)_Out_2025,Freight (Tonnes)_Out_YoY_pp,Freight (Tonnes)_Out_YoY,Aircraft Movements_In_2024,Aircraft Movements_In_2025,Aircraft Movements_In_YoY_pp,Aircraft Movements_In_YoY,Aircraft Movements_Out_2024,Aircraft Movements_Out_2025,Aircraft Movements_Out_YoY_pp,Aircraft Movements_Out_YoY
Adelaide,35227.0,44413.0,26.1,0.261,37267.0,46353.0,24.4,0.244,538.9,905.4,68.0,0.68,644.7,1483.3,130.1,1.301,201.0,255.0,26.9,0.26899999999999996,199.0,258.0,29.6,0.29600000000000004
Brisbane,221626.0,261414.0,18.0,0.18,231012.0,262439.0,13.6,0.136,4767.8,5579.5,17.0,0.17,4205.0,4693.3,11.6,0.11599999999999999,1206.0,1353.0,12.0,0.12,1204.0,1351.0,12.0,0.12
Broome,,623.0,,,,665.0,,,,,,,,,,,,9.0,,,,9.0,,
Cairns,20443.0,25189.0,23.2,0.23199999999999998,23586.0,26296.0,11.5,0.115,36.8,49.9,35.8,0.358,181.3,189.0,4.3,0.043,160.0,192.0,20.0,0.2,160.0,193.0,20.6,0.20600000000000002
Canberra,1048.0,1337.0,27.6,0.276,1085.0,1280.0,18.0,0.18,0.6,0.0,-100.0,-1.0,,0.1,,,9.0,13.0,44.4,0.444,9.0,13.0,44.4,0.444
Darwin,8842.0,11170.0,26.3,0.263,8847.0,11190.0,26.5,0.265,19.4,20.2,4.1,0.040999999999999995,5.1,5.9,15.1,0.151,83.0,119.0,43.4,0.434,82.0,112.0,36.6,0.366
Gold Coast,22701.0,23636.0,4.1,0.040999999999999995,21933.0,22040.0,0.5,0.005,2.5,2.0,-17.6,-0.17600000000000002,0.7,1.1,57.9,0.579,146.0,140.0,-4.1,-0.040999999999999995,147.0,139.0,-5.4,-0.054000000000000006
Melbourne,393502.0,449863.0,14.3,0.14300000000000002,425979.0,460578.0,8.1,0.081,14090.6,14373.1,2.0,0.02,12732.1,11472.1,-9.9,-0.099,2136.0,2248.0,5.2,0.052000000000000005,2138.0,2254.0,5.4,0.054000000000000006
Perth,170679.0,201195.0,17.9,0.179,186609.0,206834.0,10.8,0.10800000000000001,4127.1,4332.5,5.0,0.05,4305.8,4113.2,-4.5,-0.045,1002.0,1061.0,5.9,0.059000000000000004,1001.0,1068.0,6.7,0.067
Sunshine Coast,,1576.0,,,,1507.0,,,,,,,,,,,,13.0,,,,13.0,,
Sydney,599358.0,640137.0,6.8,0.068,617617.0,648323.0,5.0,0.05,29670.3,29630.4,-0.1,-0.001,16398.1,13336.7,-18.7,-0.187,3221.0,3272.0,1.6,0.016,3202.0,3231.0,0.9,0.009000000000000001
Toowoomba Wellcamp,,,,,,,,,52.2,19.9,-61.9,-0.619,91.1,65.5,-28.1,-0.281,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
