Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Auckland,Adelaide,2321.0,2296.0,2641.0,2679.0,9.4,2.9,6.1,5.6,False
Denpasar,Adelaide,9498.0,9752.0,10285.0,9869.0,3.6,0.0,1.9,0.0,False
Doha,Adelaide,6470.0,8977.0,5572.0,7935.0,89.4,245.5,119.2,357.4,False
Dubai,Adelaide,0.0,0.0,4631.0,6088.0,0.0,0.0,113.1,630.6,False
Ho Chi Minh City,Adelaide,865.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Kuala Lumpur,Adelaide,5250.0,4833.0,5769.0,5351.0,110.6,59.5,222.3,160.1,False
Nadi,Adelaide,1039.0,974.0,1667.0,1456.0,0.2,0.3,0.0,0.0,False
Singapore,Adelaide,9784.0,9734.0,13848.0,12975.0,325.8,336.5,442.7,329.6,False
Apia,Brisbane,2292.0,2998.0,2312.0,2371.0,0.0,1.5,0.0,0.3,False
Auckland,Brisbane,35157.0,33632.0,38921.0,35910.0,465.9,527.7,382.5,493.9,False
Bangkok,Brisbane,0.0,0.0,4400.0,4034.0,0.0,0.0,88.9,7.7,False
Christchurch,Brisbane,9854.0,8055.0,8544.0,7159.0,12.0,9.5,10.0,14.1,False
Denpasar,Brisbane,17183.0,18588.0,18625.0,19027.0,10.6,0.0,4.1,0.9,False
Doha,Brisbane,7732.0,10523.0,8104.0,10822.0,184.8,135.0,255.4,105.5,False
Dubai,Brisbane,15049.0,22992.0,17444.0,22905.0,409.1,451.2,459.8,448.8,False
Espiritu Santo,Brisbane,100.0,114.0,272.0,474.0,0.0,0.0,0.0,2.7,False
Guangzhou,Brisbane,4582.0,4729.0,6453.0,6831.0,281.0,27.4,372.9,42.4,False
Ho Chi Minh City,Brisbane,4691.0,3904.0,4980.0,3740.0,127.9,0.0,126.9,0.0,False
Hong Kong,Brisbane,6701.0,7947.0,11969.0,13010.0,353.7,417.7,597.1,650.1,False
Honiara,Brisbane,1971.0,1640.0,2275.0,1883.0,5.9,16.3,2.3,51.2,False
Kuala Lumpur,Brisbane,233.0,74.0,64.0,72.0,1.8,0.0,8.7,0.0,False
Los Angeles,Brisbane,5340.0,4725.0,5691.0,5223.0,34.5,68.1,70.1,46.1,False
Manila,Brisbane,3122.0,2910.0,7503.0,7394.0,41.0,3.2,83.8,12.4,False
Munda,Brisbane,0.0,70.0,0.0,135.0,0.0,0.0,0.0,0.2,False
Nadi,Brisbane,10493.0,10248.0,11458.0,10965.0,26.9,58.8,28.2,73.2,False
Nauru,Brisbane,675.0,587.0,890.0,872.0,11.5,74.7,18.4,71.4,False
Noumea,Brisbane,1040.0,1017.0,1854.0,1965.0,0.1,1.8,0.4,3.0,False
Osaka,Brisbane,4285.0,4350.0,5333.0,5232.0,106.4,8.6,138.8,4.9,False
Palau,Brisbane,18.0,31.0,214.0,229.0,0.1,2.2,0.0,0.0,False
Port Moresby,Brisbane,6737.0,6044.0,6976.0,6386.0,156.2,258.5,149.7,219.3,False
Port Vila,Brisbane,3474.0,3272.0,4592.0,4591.0,0.5,1.4,3.9,5.9,False
Queenstown,Brisbane,3393.0,3414.0,3842.0,3651.0,0.0,0.0,0.0,0.0,False
San Francisco,Brisbane,3076.0,3032.0,3728.0,3454.0,157.6,132.6,82.9,95.7,False
Seoul,Brisbane,6999.0,6731.0,8133.0,7982.0,160.8,149.9,243.2,53.0,False
Shanghai,Brisbane,2179.0,2414.0,2665.0,2533.0,139.0,33.4,127.2,30.6,False
Singapore,Brisbane,34231.0,34588.0,39125.0,38815.0,1304.2,1298.0,1426.1,1657.5,False
Taipei,Brisbane,5999.0,6850.0,7644.0,8045.0,303.0,258.5,370.8,361.6,False
Tokyo,Brisbane,12754.0,12321.0,15380.0,14314.0,289.4,69.2,433.8,78.1,False
Vancouver,Brisbane,5270.0,6964.0,4928.0,5582.0,182.2,198.6,93.0,161.0,False
Wellington,Brisbane,6996.0,6248.0,7095.0,6833.0,1.8,1.0,0.8,1.8,False
Singapore,Broome,0.0,0.0,623.0,665.0,0.0,0.0,0.0,0.0,False
Total,Broome,0.0,0.0,623.0,665.0,0.0,0.0,0.0,0.0,True
Auckland,Cairns,1136.0,1110.0,1399.0,1356.0,0.0,0.1,0.3,0.0,False
Christchurch,Cairns,0.0,0.0,1250.0,1072.0,0.0,0.0,0.0,0.0,False
Denpasar,Cairns,2718.0,3031.0,4051.0,5044.0,0.0,0.0,0.0,0.0,False
Nadi,Cairns,0.0,0.0,993.0,962.0,0.0,0.0,0.1,0.0,False
Osaka,Cairns,3558.0,3891.0,5226.0,4832.0,3.2,1.0,18.5,0.6,False
