Australian_City,Foreign_City,Metric,Direction,Year,Value,Is_Total_Row
Adelaide,Auckland,Freight_tonnes,Inbound,2024,9.4,False
Adelaide,Auckland,Freight_tonnes,Inbound,2025,6.1,False
Adelaide,Auckland,Freight_tonnes,Outbound,2024,2.9,False
Adelaide,Auckland,Freight_tonnes,Outbound,2025,5.6,False
Adelaide,Auckland,Passengers,Inbound,2024,2321.0,False
Adelaide,Auckland,Passengers,Inbound,2025,2641.0,False
Adelaide,Auckland,Passengers,Outbound,2024,2296.0,False
Adelaide,Auckland,Passengers,Outbound,2025,2679.0,False
Adelaide,Denpasar,Freight_tonnes,Inbound,2024,3.6,False
Adelaide,Denpasar,Freight_tonnes,Inbound,2025,1.9,False
Adelaide,Denpasar,Freight_tonnes,Outbound,2024,0.0,False
Adelaide,Denpasar,Freight_tonnes,Outbound,2025,0.0,False
Adelaide,Denpasar,Passengers,Inbound,2024,9498.0,False
Adelaide,Denpasar,Passengers,Inbound,2025,10285.0,False
Adelaide,Denpasar,Passengers,Outbound,2024,9752.0,False
Adelaide,Denpasar,Passengers,Outbound,2025,9869.0,False
Adelaide,Doha,Freight_tonnes,Inbound,2024,89.4,False
Adelaide,Doha,Freight_tonnes,Inbound,2025,119.2,False
Adelaide,Doha,Freight_tonnes,Outbound,2024,245.5,False
Adelaide,Doha,Freight_tonnes,Outbound,2025,357.4,False
Adelaide,Doha,Passengers,Inbound,2024,6470.0,False
Adelaide,Doha,Passengers,Inbound,2025,5572.0,False
Adelaide,Doha,Passengers,Outbound,2024,8977.0,False
Adelaide,Doha,Passengers,Outbound,2025,7935.0,False
Adelaide,Dubai,Freight_tonnes,Inbound,2024,0.0,False
Adelaide,Dubai,Freight_tonnes,Inbound,2025,113.1,False
Adelaide,Dubai,Freight_tonnes,Outbound,2024,0.0,False
Adelaide,Dubai,Freight_tonnes,Outbound,2025,630.6,False
Adelaide,Dubai,Passengers,Inbound,2024,0.0,False
Adelaide,Dubai,Passengers,Inbound,2025,4631.0,False
Adelaide,Dubai,Passengers,Outbound,2024,0.0,False
Adelaide,Dubai,Passengers,Outbound,2025,6088.0,False
Adelaide,Ho Chi Minh City,Freight_tonnes,Inbound,2024,0.0,False
Adelaide,Ho Chi Minh City,Freight_tonnes,Inbound,2025,0.0,False
Adelaide,Ho Chi Minh City,Freight_tonnes,Outbound,2024,0.0,False
Adelaide,Ho Chi Minh City,Freight_tonnes,Outbound,2025,0.0,False
Adelaide,Ho Chi Minh City,Passengers,Inbound,2024,865.0,False
Adelaide,Ho Chi Minh City,Passengers,Inbound,2025,0.0,False
Adelaide,Ho Chi Minh City,Passengers,Outbound,2024,701.0,False
Adelaide,Ho Chi Minh City,Passengers,Outbound,2025,0.0,False
Adelaide,Kuala Lumpur,Freight_tonnes,Inbound,2024,110.6,False
Adelaide,Kuala Lumpur,Freight_tonnes,Inbound,2025,222.3,False
Adelaide,Kuala Lumpur,Freight_tonnes,Outbound,2024,59.5,False
Adelaide,Kuala Lumpur,Freight_tonnes,Outbound,2025,160.1,False
Adelaide,Kuala Lumpur,Passengers,Inbound,2024,5250.0,False
Adelaide,Kuala Lumpur,Passengers,Inbound,2025,5769.0,False
Adelaide,Kuala Lumpur,Passengers,Outbound,2024,4833.0,False
Adelaide,Kuala Lumpur,Passengers,Outbound,2025,5351.0,False
Adelaide,Nadi,Freight_tonnes,Inbound,2024,0.2,False
Adelaide,Nadi,Freight_tonnes,Inbound,2025,0.0,False
Adelaide,Nadi,Freight_tonnes,Outbound,2024,0.3,False
Adelaide,Nadi,Freight_tonnes,Outbound,2025,0.0,False
