Australian_City,Foreign_City,Passengers_2025_Total
Melbourne,Singapore,140035.0
Sydney,Singapore,127262.0
Perth,Singapore,119483.0
Sydney,Auckland,97590.0
Melbourne,Denpasar,97040.0
Perth,Denpasar,92532.0
Brisbane,Singapore,77940.0
Melbourne,Auckland,74948.0
Brisbane,Auckland,74831.0
Sydney,Hong Kong,73421.0
Sydney,Denpasar,72789.0
Sydney,Dubai,68201.0
Sydney,Tokyo,61538.0
Sydney,Los Angeles,57921.0
Melbourne,Dubai,55681.0
Sydney,Seoul,49986.0
Melbourne,Hong Kong,49727.0
Sydney,Nadi,48833.0
Sydney,Bangkok,44031.0
Brisbane,Dubai,40349.0
Melbourne,Kuala Lumpur,39701.0
Sydney,Manila,38672.0
Perth,Kuala Lumpur,38193.0
Brisbane,Denpasar,37652.0
Sydney,Kuala Lumpur,36527.0
Melbourne,Ho Chi Minh City,36058.0
Melbourne,Bangkok,35664.0
Melbourne,Doha,35092.0
Sydney,Shanghai,34125.0
Sydney,Ho Chi Minh City,30845.0
Sydney,Guangzhou,30558.0
Brisbane,Tokyo,29694.0
Sydney,Doha,28649.0
Sydney,Christchurch,28506.0
Adelaide,Singapore,26823.0
Melbourne,Shanghai,26814.0
Perth,Dubai,26192.0
Brisbane,Hong Kong,24979.0
Gold Coast,Auckland,24910.0
Melbourne,Nadi,24371.0
Sydney,Honolulu,24064.0
Melbourne,Christchurch,23790.0
Perth,Doha,23507.0
Sydney,Queenstown,22862.0
Brisbane,Nadi,22423.0
Melbourne,Guangzhou,21679.0
Perth,Hong Kong,20776.0
Adelaide,Denpasar,20154.0
Melbourne,Tokyo,20049.0
Sydney,Abu Dhabi,19035.0
Brisbane,Doha,18926.0
Melbourne,New Delhi,18693.0
Sydney,Vancouver,18645.0
Sydney,Wellington,18614.0
Sydney,London,18571.0
Melbourne,Manila,18258.0
Melbourne,Los Angeles,17726.0
Perth,Auckland,17144.0
Perth,Bangkok,16854.0
Sydney,Santiago,16853.0
Sydney,San Francisco,16715.0
Melbourne,Abu Dhabi,16300.0
Brisbane,Seoul,16115.0
Brisbane,Christchurch,15703.0
Melbourne,Colombo,15696.0
Brisbane,Taipei,15689.0
Sydney,Jakarta,15316.0
Melbourne,Wellington,14949.0
Brisbane,Manila,14897.0
Cairns,Tokyo,14351.0
Brisbane,Wellington,13928.0
Sydney,New Delhi,13535.0
Adelaide,Doha,13507.0
Sydney,Johannesburg,13436.0
Brisbane,Port Moresby,13362.0
Brisbane,Guangzhou,13284.0
Perth,London,12836.0
Sydney,Xiamen,12500.0
Melbourne,Xiamen,12428.0
Melbourne,Queenstown,12126.0
Sydney,Dallas,11683.0
Melbourne,San Francisco,11671.0
Melbourne,Phuket,11304.0
Adelaide,Kuala Lumpur,11120.0
Brisbane,Los Angeles,10914.0
Adelaide,Dubai,10719.0
Brisbane,Osaka,10565.0
Brisbane,Vancouver,10510.0
Darwin,Singapore,10205.0
Cairns,Osaka,10058.0
Sydney,Chengdu,9590.0
Darwin,Denpasar,9492.0
Sydney,Beijing,9408.0
Sydney,Taipei,9226.0
Brisbane,Port Vila,9183.0
Sydney,Hanoi,9134.0
Cairns,Denpasar,9095.0
Brisbane,Ho Chi Minh City,8720.0
Sydney,Bangalore,8684.0
Sydney,Colombo,8538.0
