Year,Month,Airline_Name,Country,Direction,Passengers,Freight_tonnes,Mail_tonnes,Is_Total_AllServices
2009,1,<NA>,<NA>,Inbound,3021.0,4.3,0.6,False
2009,1,<NA>,<NA>,Inbound,627.0,76.3,0.0,False
2009,1,<NA>,<NA>,Inbound,6658.0,4.9,0.6,False
2009,1,<NA>,<NA>,Inbound,7489.0,174.8,0.0,False
2009,1,<NA>,<NA>,Inbound,12458.0,201.3,18.6,False
2009,1,<NA>,<NA>,Inbound,4635.0,36.6,0.4,False
2009,1,<NA>,<NA>,Inbound,94.0,0.0,0.0,False
2009,1,<NA>,<NA>,Inbound,,1.1,0.0,False
2009,1,<NA>,<NA>,Inbound,109904.0,1811.3,197.7,False
2009,1,<NA>,<NA>,Inbound,,164.0,0.0,False
2009,1,<NA>,<NA>,Inbound,6817.0,33.7,1.8,False
2009,1,<NA>,<NA>,Inbound,19539.0,184.5,0.3,False
2009,1,<NA>,<NA>,Inbound,1917.0,40.2,0.0,False
2009,1,<NA>,<NA>,Inbound,5212.0,12.4,0.0,False
2009,1,<NA>,<NA>,Inbound,21143.0,106.5,0.0,False
2009,1,<NA>,<NA>,Inbound,500.0,0.7,0.0,False
2009,1,<NA>,<NA>,Inbound,397.0,0.0,0.0,False
2009,1,<NA>,<NA>,Inbound,8996.0,164.3,7.2,False
2009,1,<NA>,<NA>,Inbound,2602.0,114.8,0.0,False
2009,1,<NA>,<NA>,Inbound,4270.0,42.1,0.0,False
2009,1,<NA>,<NA>,Inbound,9854.0,281.2,77.1,False
2009,1,<NA>,<NA>,Inbound,,65.1,0.0,False
2009,1,<NA>,<NA>,Inbound,,,,False
2009,1,<NA>,<NA>,Inbound,,28.4,0.0,False
2009,1,<NA>,<NA>,Inbound,,,,False
2009,1,<NA>,<NA>,Inbound,71949.0,2393.9,128.9,False
2009,1,<NA>,<NA>,Inbound,9003.0,49.0,9.3,False
2009,1,<NA>,<NA>,Inbound,13224.0,90.6,9.5,False
2009,1,<NA>,<NA>,Inbound,8399.0,182.8,16.1,False
2009,1,<NA>,<NA>,Inbound,1128.0,0.3,0.0,False
2009,1,<NA>,<NA>,Inbound,28408.0,1376.3,0.0,False
2009,1,<NA>,<NA>,Inbound,1653.0,104.6,19.9,False
2009,1,<NA>,<NA>,Inbound,2499.0,0.9,0.2,False
2009,1,<NA>,<NA>,Inbound,47921.0,960.1,204.2,False
2009,1,<NA>,<NA>,Inbound,852.0,47.8,0.0,False
2009,1,<NA>,<NA>,Inbound,16644.0,226.3,34.1,False
