AirlineID,Airline_Name,Home_Country
1,Aerolineas Argentinas,Argentina
2,Air Austral,Reunion
3,Air Australia,Indonesia
4,Air Caledonie,New Caledonia
5,Air Caledonie International,New Caledonia
6,Air Canada,Canada
7,Air Chathams,New Zealand
8,Air China,China
9,Air India,India
10,Air Mauritius,Mauritius
11,Air New Zealand,New Zealand
12,Air Niugini,Papua New Guinea
13,Air Pacific,Fiji
14,Air Tahiti Nui,Tahiti
15,Air Vanuatu,Vanuatu
16,AirAsia Berhad,Malaysia
17,AirAsia X,Malaysia
18,Airlines PNG,Papua New Guinea
19,Airnorth,Indonesia
20,All Nippon Airways,Japan
21,American Airlines,USA
22,Asiana Airlines,Korea
23,Bamboo Airways,Vietnam
24,Batik Air Indonesia,Indonesia
25,Beijing Capital Airlines,China
26,British Airways,UK
27,Cargolux Airlines Intl,Luxembourg
28,Cathay Pacific Airways,Hong Kong (SAR)
29,Cebu Pacific Air,Philippines
30,China Airlines,Taiwan
31,China Eastern Airlines,China
32,China Southern Airlines,China
33,Citilink Indonesia,Indonesia
34,Continental Micronesia,Guam
35,Delta Air Lines,USA
36,Donghai Airlines,China
37,Emirates,United Arab Emirates
38,Etihad Airways,United Arab Emirates
39,Eva Air,Taiwan
40,Federal Express Corporation,USA
41,Fiji Airways,Fiji
42,Garuda Indonesia,Indonesia
43,Hainan Airlines,China
44,Hawaiian Airlines,USA
45,Hong Kong Airlines,Hong Kong (SAR)
46,Indonesia AirAsia,Indonesia
47,Indonesia AirAsia Extra,Indonesia
48,JALways,Japan
49,Japan Airlines,Japan
50,Jetstar,Australia
51,Jetstar Asia,Singapore
52,Jin Air,Korea
53,Juneyao Air,China
54,Kalitta Air,Hong Kong (SAR)
55,Korean Air,Korea
56,LAN Airlines,Chile
57,LATAM Airlines,Chile
58,Malaysia Airlines,Malaysia
59,Malindo Air,Malaysia
60,Nauru Airlines,Nauru
61,Our Airline,Nauru
62,OzJet,Indonesia
63,Pacific Air Express,Solomon Islands
64,Philippine Airlines,Philippines
65,Polar Air Cargo,Japan
66,Qantas Airways,Australia
67,Qatar Airways,Qatar
68,Royal Brunei Airlines,Brunei
69,Samoa Airways,Western Samoa
70,Scoot,Singapore
71,Scoot Tigerair,Singapore
72,Sichuan Airlines,China
73,Silk Air,Singapore
74,Singapore Airlines,Singapore
75,SkyAirWorld,Solomon Islands
76,Solomon Airlines,Solomon Islands
77,South African Airways,South Africa
78,SriLankan Airlines,Sri Lanka
79,T'way Air,Korea
80,Tasman Cargo Airlines,Australia
81,Thai AirAsia X,Thailand
82,Thai Airways International,Thailand
83,Tianjin Airlines,China
84,Tiger Airways,Singapore
85,Tigerair,Singapore
86,Tigerair Australia,Indonesia
87,TransNusa,Indonesia
88,Turkish Airlines,Turkey
89,United Airlines,USA
90,United Parcel Service,Singapore
91,V Australia,USA
92,Vietjet Air,Vietnam
93,Vietnam Airlines,Vietnam
94,Virgin Atlantic Airways,Hong Kong (SAR)
95,Virgin Australia,Australia
96,Virgin Samoa,Western Samoa
97,Xiamen Airlines,China
