CityID,City,Country
1,Adelaide,Australia
2,Brisbane,Australia
3,Broome,Australia
4,Cairns,Australia
5,Canberra,Australia
6,Darwin,Australia
7,Gold Coast,Australia
8,Melbourne,Australia
9,Perth,Australia
10,Sunshine Coast,Australia
11,Sydney,Australia
12,Toowoomba Wellcamp,Australia
13,Abu Dhabi,United Arab Emirates
14,Apia,Samoa
15,Auckland,New Zealand
16,Bandar Seri Begawan,Brunei
17,Bangalore,India
18,Bangkok,Thailand
19,Beijing,China
20,Bombay,India
21,Chengdu,China
22,Chicago,United States
23,Chongqing,China
24,Christchurch,New Zealand
25,Colombo,Sri Lanka
26,Dallas,United States
27,Denpasar,Indonesia
28,Dili,Timor-Leste
29,Doha,Qatar
30,Dubai,United Arab Emirates
31,Espiritu Santo,Vanuatu
32,Gaborone,Botswana
33,Guangzhou,China
34,Haikou,China
35,Hangzhou,China
36,Hanoi,Vietnam
37,Ho Chi Minh City,Vietnam
38,Hong Kong,Hong Kong
39,Honiara,Solomon Islands
40,Honolulu,United States
41,Istanbul,Turkey
42,Jakarta,Indonesia
43,Jinan,China
44,Johannesburg,South Africa
45,Kuala Lumpur,Malaysia
46,London,United Kingdom
47,Los Angeles,United States
48,Louisville,United States
49,Manila,Philippines
50,Mauritius,Mauritius
51,Munda,Solomon Islands
52,Nadi,Fiji
53,Nanjing,China
54,Nauru,Nauru
55,New Delhi,India
56,New York,United States
57,Noumea,New Caledonia
58,Osaka,Japan
59,Palau,Palau
60,Paris,France
61,Phuket,Thailand
62,Port Moresby,Papua New Guinea
63,Port Vila,Vanuatu
64,Qingdao,China
65,Queenstown,New Zealand
66,Rarotonga,Cook Islands
67,San Francisco,United States
68,Santiago,Chile
69,Seoul,South Korea
70,Shanghai,China
71,Shenzhen,China
72,Singapore,Singapore
73,Taipei,Taiwan
74,Taiyuan,China
75,Tianjin,China
76,Tokyo,Japan
77,Tongatapu,Tonga
78,Toronto,Canada
79,Vancouver,Canada
80,Wellington,New Zealand
81,Wuhan,China
82,Xi'an,China
83,Xiamen,China
84,Zhengzhou,China
