Year,Month,Airline_Name,Country,Direction,Passengers,Freight_tonnes,Mail_tonnes,Is_Total_AllServices
2009,1,Aerolineas Argentinas,Argentina,Inbound,3021.0,4.3,0.6,False
2009,1,Aerolineas Argentinas,Argentina,Outbound,1959.0,8.3,0.0,False
2009,1,Aerolineas Argentinas,New Zealand,Inbound,627.0,76.3,0.0,False
2009,1,Aerolineas Argentinas,New Zealand,Outbound,1821.0,68.5,0.0,False
2009,1,Air Caledonie,New Caledonia,Inbound,6658.0,4.9,0.6,False
2009,1,Air Caledonie,New Caledonia,Outbound,5365.0,68.6,1.3,False
2009,1,Air Canada,Canada,Inbound,7489.0,174.8,0.0,False
2009,1,Air Canada,Canada,Outbound,6424.0,105.2,0.0,False
2009,1,Air China,China,Inbound,12458.0,201.3,18.6,False
2009,1,Air China,China,Outbound,11163.0,142.4,2.9,False
2009,1,Air Mauritius,Mauritius,Inbound,4635.0,36.6,0.4,False
2009,1,Air Mauritius,Mauritius,Outbound,3782.0,80.2,0.0,False
2009,1,Air New Zealand,Cook Islands,Inbound,94.0,0.0,0.0,False
2009,1,Air New Zealand,Cook Islands,Outbound,39.0,0.0,0.0,False
2009,1,Air New Zealand,New Zealand,Inbound,109904.0,1811.3,197.7,False
2009,1,Air New Zealand,New Zealand,Outbound,100460.0,1385.6,8.3,False
2009,1,Air Niugini,Papua New Guinea,Inbound,6817.0,33.7,1.8,False
2009,1,Air Niugini,Papua New Guinea,Outbound,7459.0,226.4,10.4,False
2009,1,Air Pacific,Fiji,Inbound,19539.0,184.5,0.3,False
2009,1,Air Pacific,Fiji,Outbound,13401.0,248.8,7.7,False
2009,1,Air Tahiti Nui,Tahiti,Inbound,1917.0,40.2,0.0,False
2009,1,Air Tahiti Nui,Tahiti,Outbound,1964.0,54.9,0.0,False
2009,1,Air Vanuatu,Vanuatu,Inbound,5212.0,12.4,0.0,False
2009,1,Air Vanuatu,Vanuatu,Outbound,4390.0,29.5,0.0,False
2009,1,AirAsia X,Malaysia,Inbound,21143.0,106.5,0.0,False
2009,1,AirAsia X,Malaysia,Outbound,17676.0,57.3,0.0,False
2009,1,Airlines PNG,Papua New Guinea,Inbound,500.0,0.7,0.0,False
2009,1,Airlines PNG,Papua New Guinea,Outbound,598.0,4.0,0.0,False
2009,1,Airnorth,Indonesia,Inbound,397.0,0.0,0.0,False
2009,1,Airnorth,Indonesia,Outbound,325.0,0.0,0.0,False
2009,1,Asiana Airlines,Korea,Inbound,8996.0,164.3,7.2,False
2009,1,Asiana Airlines,Korea,Outbound,7684.0,75.0,0.0,False
2009,1,British Airways,Singapore,Inbound,2602.0,114.8,0.0,False
2009,1,British Airways,Singapore,Outbound,2064.0,156.2,0.0,False
2009,1,British Airways,Thailand,Inbound,4270.0,42.1,0.0,False
2009,1,British Airways,Thailand,Outbound,3990.0,61.4,0.0,False
2009,1,British Airways,UK,Inbound,9854.0,281.2,77.1,False
2009,1,British Airways,UK,Outbound,8899.0,101.2,0.0,False
2009,1,Cathay Pacific Airways,Hong Kong (SAR),Inbound,71949.0,2393.9,128.9,False
2009,1,Cathay Pacific Airways,Hong Kong (SAR),Outbound,59968.0,3818.2,33.0,False
2009,1,China Airlines,Taiwan,Inbound,9003.0,49.0,9.3,False
2009,1,China Airlines,Taiwan,Outbound,7596.0,25.8,0.0,False
2009,1,China Eastern Airlines,China,Inbound,13224.0,90.6,9.5,False
2009,1,China Eastern Airlines,China,Outbound,9311.0,80.5,1.7,False
2009,1,China Southern Airlines,China,Inbound,8399.0,182.8,16.1,False
2009,1,China Southern Airlines,China,Outbound,6431.0,9.7,3.5,False
2009,1,Continental Micronesia,Guam,Inbound,1128.0,0.3,0.0,False
2009,1,Continental Micronesia,Guam,Outbound,1084.0,1.2,0.0,False
2009,1,Emirates,New Zealand,Inbound,28408.0,1376.3,0.0,False
2009,1,Emirates,New Zealand,Outbound,19391.0,745.6,0.0,False
2009,1,Emirates,Singapore,Inbound,1653.0,104.6,19.9,False
2009,1,Emirates,Singapore,Outbound,1161.0,453.0,0.0,False
2009,1,Emirates,Thailand,Inbound,2499.0,0.9,0.2,False
2009,1,Emirates,Thailand,Outbound,914.0,0.0,0.0,False
2009,1,Emirates,United Arab Emirates,Inbound,47921.0,960.1,204.2,False
2009,1,Emirates,United Arab Emirates,Outbound,44881.0,1503.1,0.2,False
2009,1,Etihad Airways,Singapore,Inbound,852.0,47.8,0.0,False
2009,1,Etihad Airways,Singapore,Outbound,816.0,64.9,0.0,False
2009,1,Etihad Airways,United Arab Emirates,Inbound,16644.0,226.3,34.1,False
2009,1,Etihad Airways,United Arab Emirates,Outbound,14554.0,427.1,34.5,False
2009,1,Eva Air,Taiwan,Inbound,4817.0,69.2,4.4,False
2009,1,Eva Air,Taiwan,Outbound,3363.0,165.3,2.3,False
2009,1,Garuda Indonesia,Indonesia,Inbound,24994.0,161.4,7.3,False
2009,1,Garuda Indonesia,Indonesia,Outbound,17474.0,106.5,0.0,False
2009,1,Hawaiian Airlines,USA,Inbound,2607.0,2.0,1.5,False
2009,1,Hawaiian Airlines,USA,Outbound,1950.0,23.5,0.0,False
2009,1,JALways,Japan,Inbound,19355.0,199.9,82.8,False
2009,1,JALways,Japan,Outbound,16434.0,159.0,0.5,False
2009,1,Jetstar,Indonesia,Inbound,14771.0,175.6,0.0,False
2009,1,Jetstar,Indonesia,Outbound,12261.0,10.4,0.2,False
2009,1,Jetstar,Japan,Inbound,21198.0,100.4,26.3,False
2009,1,Jetstar,Japan,Outbound,19116.0,117.4,6.0,False
2009,1,Jetstar,New Zealand,Inbound,17054.0,47.1,0.0,False
2009,1,Jetstar,New Zealand,Outbound,16873.0,20.4,0.0,False
2009,1,Jetstar,Singapore,Inbound,13745.0,16.5,0.0,False
2009,1,Jetstar,Singapore,Outbound,10829.0,4.6,11.4,False
2009,1,Jetstar,Thailand,Inbound,7186.0,93.5,1.2,False
2009,1,Jetstar,Thailand,Outbound,6192.0,70.1,1.0,False
2009,1,Jetstar,USA,Inbound,5569.0,43.3,0.5,False
2009,1,Jetstar,USA,Outbound,4149.0,52.9,0.4,False
2009,1,Jetstar,Vietnam,Inbound,3067.0,4.4,0.0,False
2009,1,Jetstar,Vietnam,Outbound,2846.0,0.2,0.0,False
2009,1,Korean Air,Korea,Inbound,18508.0,579.5,70.2,False
2009,1,Korean Air,Korea,Outbound,14281.0,430.9,16.0,False
2009,1,LAN Airlines,Chile,Inbound,2995.0,129.1,1.0,False
2009,1,LAN Airlines,Chile,Outbound,2477.0,44.0,3.6,False
2009,1,LAN Airlines,New Zealand,Inbound,3024.0,22.2,0.0,False
2009,1,LAN Airlines,New Zealand,Outbound,3140.0,50.6,0.0,False
2009,1,Malaysia Airlines,Malaysia,Inbound,40337.0,1980.2,11.8,False
2009,1,Malaysia Airlines,Malaysia,Outbound,33459.0,1550.7,0.0,False
2009,1,Our Airline,Nauru,Inbound,295.0,0.6,0.0,False
2009,1,Our Airline,Nauru,Outbound,391.0,12.6,0.0,False
2009,1,Our Airline,Solomon Islands,Inbound,387.0,0.0,0.0,False
2009,1,Our Airline,Solomon Islands,Outbound,389.0,0.0,0.0,False
2009,1,OzJet,Indonesia,Inbound,1331.0,0.0,0.0,False
2009,1,OzJet,Indonesia,Outbound,698.0,0.0,0.0,False
2009,1,Philippine Airlines,Philippines,Inbound,8624.0,70.3,5.4,False
