Year,Month,Airline_Name,Country,Passengers,Freight_tonnes,Mail_tonnes,Direction,DateID,YearMonthDate
2009,1,Aerolineas Argentinas,Argentina,3021.0,4.3,0.6,Inbound,200901,2009-01-01
2009,1,Aerolineas Argentinas,Argentina,1959.0,8.3,0.0,Outbound,200901,2009-01-01
2009,1,Aerolineas Argentinas,New Zealand,627.0,76.3,0.0,Inbound,200901,2009-01-01
2009,1,Aerolineas Argentinas,New Zealand,1821.0,68.5,0.0,Outbound,200901,2009-01-01
2009,1,Air Caledonie,New Caledonia,6658.0,4.9,0.6,Inbound,200901,2009-01-01
2009,1,Air Caledonie,New Caledonia,5365.0,68.6,1.3,Outbound,200901,2009-01-01
2009,1,Air Canada,Canada,7489.0,174.8,0.0,Inbound,200901,2009-01-01
2009,1,Air Canada,Canada,6424.0,105.2,0.0,Outbound,200901,2009-01-01
2009,1,Air China,China,12458.0,201.3,18.6,Inbound,200901,2009-01-01
2009,1,Air China,China,11163.0,142.4,2.9,Outbound,200901,2009-01-01
2009,1,Air Mauritius,Mauritius,4635.0,36.6,0.4,Inbound,200901,2009-01-01
2009,1,Air Mauritius,Mauritius,3782.0,80.2,0.0,Outbound,200901,2009-01-01
2009,1,Air New Zealand,Cook Islands,94.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Air New Zealand,Cook Islands,39.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Air New Zealand,Germany,,1.1,0.0,Inbound,200901,2009-01-01
2009,1,Air New Zealand,New Zealand,109904.0,1811.3,197.7,Inbound,200901,2009-01-01
2009,1,Air New Zealand,New Zealand,100460.0,1385.6,8.3,Outbound,200901,2009-01-01
2009,1,Air New Zealand,USA,,164.0,0.0,Inbound,200901,2009-01-01
2009,1,Air Niugini,Papua New Guinea,6817.0,33.7,1.8,Inbound,200901,2009-01-01
2009,1,Air Niugini,Papua New Guinea,7459.0,226.4,10.4,Outbound,200901,2009-01-01
2009,1,Air Pacific,Fiji,19539.0,184.5,0.3,Inbound,200901,2009-01-01
2009,1,Air Pacific,Fiji,13401.0,248.8,7.7,Outbound,200901,2009-01-01
2009,1,Air Tahiti Nui,Tahiti,1917.0,40.2,0.0,Inbound,200901,2009-01-01
2009,1,Air Tahiti Nui,Tahiti,1964.0,54.9,0.0,Outbound,200901,2009-01-01
2009,1,Air Vanuatu,Vanuatu,5212.0,12.4,0.0,Inbound,200901,2009-01-01
2009,1,Air Vanuatu,Vanuatu,4390.0,29.5,0.0,Outbound,200901,2009-01-01
2009,1,AirAsia X,Malaysia,21143.0,106.5,0.0,Inbound,200901,2009-01-01
2009,1,AirAsia X,Malaysia,17676.0,57.3,0.0,Outbound,200901,2009-01-01
2009,1,Airlines PNG,Papua New Guinea,500.0,0.7,0.0,Inbound,200901,2009-01-01
2009,1,Airlines PNG,Papua New Guinea,598.0,4.0,0.0,Outbound,200901,2009-01-01
2009,1,Airnorth,Indonesia,397.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Airnorth,Indonesia,325.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Asiana Airlines,Korea,8996.0,164.3,7.2,Inbound,200901,2009-01-01
2009,1,Asiana Airlines,Korea,7684.0,75.0,0.0,Outbound,200901,2009-01-01
2009,1,British Airways,Singapore,2602.0,114.8,0.0,Inbound,200901,2009-01-01
2009,1,British Airways,Singapore,2064.0,156.2,0.0,Outbound,200901,2009-01-01
2009,1,British Airways,Thailand,4270.0,42.1,0.0,Inbound,200901,2009-01-01
2009,1,British Airways,Thailand,3990.0,61.4,0.0,Outbound,200901,2009-01-01
2009,1,British Airways,UK,9854.0,281.2,77.1,Inbound,200901,2009-01-01
2009,1,British Airways,UK,8899.0,101.2,0.0,Outbound,200901,2009-01-01
2009,1,Cargolux Airlines Intl,Luxembourg,,65.1,0.0,Inbound,200901,2009-01-01
2009,1,Cargolux Airlines Intl,Luxembourg,,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Cargolux Airlines Intl,New Zealand,,43.3,0.0,Outbound,200901,2009-01-01
2009,1,Cargolux Airlines Intl,Singapore,,28.4,0.0,Inbound,200901,2009-01-01
2009,1,Cargolux Airlines Intl,USA,,36.3,0.0,Outbound,200901,2009-01-01
2009,1,Cathay Pacific Airways,Hong Kong (SAR),71949.0,2393.9,128.9,Inbound,200901,2009-01-01
2009,1,Cathay Pacific Airways,Hong Kong (SAR),59968.0,3818.2,33.0,Outbound,200901,2009-01-01
2009,1,China Airlines,Taiwan,9003.0,49.0,9.3,Inbound,200901,2009-01-01
2009,1,China Airlines,Taiwan,7596.0,25.8,0.0,Outbound,200901,2009-01-01
2009,1,China Eastern Airlines,China,13224.0,90.6,9.5,Inbound,200901,2009-01-01
2009,1,China Eastern Airlines,China,9311.0,80.5,1.7,Outbound,200901,2009-01-01
2009,1,China Southern Airlines,China,8399.0,182.8,16.1,Inbound,200901,2009-01-01
2009,1,China Southern Airlines,China,6431.0,9.7,3.5,Outbound,200901,2009-01-01
2009,1,Continental Micronesia,Guam,1128.0,0.3,0.0,Inbound,200901,2009-01-01
2009,1,Continental Micronesia,Guam,1084.0,1.2,0.0,Outbound,200901,2009-01-01
2009,1,Emirates,New Zealand,28408.0,1376.3,0.0,Inbound,200901,2009-01-01
2009,1,Emirates,New Zealand,19391.0,745.6,0.0,Outbound,200901,2009-01-01
2009,1,Emirates,Singapore,1653.0,104.6,19.9,Inbound,200901,2009-01-01
2009,1,Emirates,Singapore,1161.0,453.0,0.0,Outbound,200901,2009-01-01
2009,1,Emirates,Thailand,2499.0,0.9,0.2,Inbound,200901,2009-01-01
2009,1,Emirates,Thailand,914.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Emirates,United Arab Emirates,47921.0,960.1,204.2,Inbound,200901,2009-01-01
2009,1,Emirates,United Arab Emirates,44881.0,1503.1,0.2,Outbound,200901,2009-01-01
2009,1,Etihad Airways,Singapore,852.0,47.8,0.0,Inbound,200901,2009-01-01
2009,1,Etihad Airways,Singapore,816.0,64.9,0.0,Outbound,200901,2009-01-01
2009,1,Etihad Airways,United Arab Emirates,16644.0,226.3,34.1,Inbound,200901,2009-01-01
2009,1,Etihad Airways,United Arab Emirates,14554.0,427.1,34.5,Outbound,200901,2009-01-01
2009,1,Eva Air,Taiwan,4817.0,69.2,4.4,Inbound,200901,2009-01-01
2009,1,Eva Air,Taiwan,3363.0,165.3,2.3,Outbound,200901,2009-01-01
2009,1,Federal Express Corporation,Philippines,,251.3,0.0,Outbound,200901,2009-01-01
2009,1,Federal Express Corporation,USA,,692.4,20.7,Inbound,200901,2009-01-01
2009,1,Garuda Indonesia,Indonesia,24994.0,161.4,7.3,Inbound,200901,2009-01-01
2009,1,Garuda Indonesia,Indonesia,17474.0,106.5,0.0,Outbound,200901,2009-01-01
2009,1,Hawaiian Airlines,USA,2607.0,2.0,1.5,Inbound,200901,2009-01-01
2009,1,Hawaiian Airlines,USA,1950.0,23.5,0.0,Outbound,200901,2009-01-01
2009,1,JALways,Japan,19355.0,199.9,82.8,Inbound,200901,2009-01-01
2009,1,JALways,Japan,16434.0,159.0,0.5,Outbound,200901,2009-01-01
2009,1,Jetstar,Indonesia,14771.0,175.6,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Indonesia,12261.0,10.4,0.2,Outbound,200901,2009-01-01
2009,1,Jetstar,Japan,21198.0,100.4,26.3,Inbound,200901,2009-01-01
2009,1,Jetstar,Japan,19116.0,117.4,6.0,Outbound,200901,2009-01-01
2009,1,Jetstar,New Zealand,17054.0,47.1,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,New Zealand,16873.0,20.4,0.0,Outbound,200901,2009-01-01
2009,1,Jetstar,Singapore,13745.0,16.5,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Singapore,10829.0,4.6,11.4,Outbound,200901,2009-01-01
2009,1,Jetstar,Thailand,7186.0,93.5,1.2,Inbound,200901,2009-01-01
2009,1,Jetstar,Thailand,6192.0,70.1,1.0,Outbound,200901,2009-01-01
2009,1,Jetstar,USA,5569.0,43.3,0.5,Inbound,200901,2009-01-01
2009,1,Jetstar,USA,4149.0,52.9,0.4,Outbound,200901,2009-01-01
2009,1,Jetstar,Vietnam,3067.0,4.4,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Vietnam,2846.0,0.2,0.0,Outbound,200901,2009-01-01
2009,1,Korean Air,Korea,18508.0,579.5,70.2,Inbound,200901,2009-01-01
