Year,City,Metric,Direction,Value
2024,Adelaide,Aircraft_Movements,Inbound,201.0
2025,Adelaide,Aircraft_Movements,Inbound,255.0
2024,Adelaide,Aircraft_Movements,Outbound,199.0
2025,Adelaide,Aircraft_Movements,Outbound,258.0
2024,Adelaide,Freight_(Tonnes),Inbound,538.9
2025,Adelaide,Freight_(Tonnes),Inbound,905.4
2024,Adelaide,Freight_(Tonnes),Outbound,644.7
2025,Adelaide,Freight_(Tonnes),Outbound,1483.3
2024,Adelaide,Passengers,Inbound,35227.0
2025,Adelaide,Passengers,Inbound,44413.0
2024,Adelaide,Passengers,Outbound,37267.0
2025,Adelaide,Passengers,Outbound,46353.0
2024,Brisbane,Aircraft_Movements,Inbound,1206.0
2025,Brisbane,Aircraft_Movements,Inbound,1353.0
2024,Brisbane,Aircraft_Movements,Outbound,1204.0
2025,Brisbane,Aircraft_Movements,Outbound,1351.0
2024,Brisbane,Freight_(Tonnes),Inbound,4767.8
2025,Brisbane,Freight_(Tonnes),Inbound,5579.5
2024,Brisbane,Freight_(Tonnes),Outbound,4205.0
2025,Brisbane,Freight_(Tonnes),Outbound,4693.3
2024,Brisbane,Passengers,Inbound,221626.0
2025,Brisbane,Passengers,Inbound,261414.0
2024,Brisbane,Passengers,Outbound,231012.0
2025,Brisbane,Passengers,Outbound,262439.0
2025,Broome,Aircraft_Movements,Inbound,9.0
2025,Broome,Aircraft_Movements,Outbound,9.0
2025,Broome,Passengers,Inbound,623.0
2025,Broome,Passengers,Outbound,665.0
2024,Cairns,Aircraft_Movements,Inbound,160.0
2025,Cairns,Aircraft_Movements,Inbound,192.0
2024,Cairns,Aircraft_Movements,Outbound,160.0
2025,Cairns,Aircraft_Movements,Outbound,193.0
2024,Cairns,Freight_(Tonnes),Inbound,36.8
2025,Cairns,Freight_(Tonnes),Inbound,49.9
2024,Cairns,Freight_(Tonnes),Outbound,181.3
2025,Cairns,Freight_(Tonnes),Outbound,189.0
2024,Cairns,Passengers,Inbound,20443.0
