Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Adelaide,Auckland,Inbound,Passengers,2321
2024,Adelaide,Denpasar,Inbound,Passengers,9498
2024,Adelaide,Doha,Inbound,Passengers,6470
2024,Adelaide,Dubai,Inbound,Passengers,0
2024,Adelaide,Ho Chi Minh City,Inbound,Passengers,865
2024,Adelaide,Kuala Lumpur,Inbound,Passengers,5250
2024,Adelaide,Nadi,Inbound,Passengers,1039
2024,Adelaide,Singapore,Inbound,Passengers,9784
2024,Brisbane,Apia,Inbound,Passengers,2292
2024,Brisbane,Auckland,Inbound,Passengers,35157
2024,Brisbane,Bangkok,Inbound,Passengers,0
2024,Brisbane,Christchurch,Inbound,Passengers,9854
2024,Brisbane,Denpasar,Inbound,Passengers,17183
2024,Brisbane,Doha,Inbound,Passengers,7732
2024,Brisbane,Dubai,Inbound,Passengers,15049
2024,Brisbane,Espiritu Santo,Inbound,Passengers,100
2024,Brisbane,Guangzhou,Inbound,Passengers,4582
2024,Brisbane,Ho Chi Minh City,Inbound,Passengers,4691
2024,Brisbane,Hong Kong,Inbound,Passengers,6701
2024,Brisbane,Honiara,Inbound,Passengers,1971
2024,Brisbane,Kuala Lumpur,Inbound,Passengers,233
2024,Brisbane,Los Angeles,Inbound,Passengers,5340
2024,Brisbane,Manila,Inbound,Passengers,3122
2024,Brisbane,Munda,Inbound,Passengers,0
2024,Brisbane,Nadi,Inbound,Passengers,10493
2024,Brisbane,Nauru,Inbound,Passengers,675
2024,Brisbane,Noumea,Inbound,Passengers,1040
2024,Brisbane,Osaka,Inbound,Passengers,4285
2024,Brisbane,Palau,Inbound,Passengers,18
2024,Brisbane,Port Moresby,Inbound,Passengers,6737
2024,Brisbane,Port Vila,Inbound,Passengers,3474
2024,Brisbane,Queenstown,Inbound,Passengers,3393
2024,Brisbane,San Francisco,Inbound,Passengers,3076
2024,Brisbane,Seoul,Inbound,Passengers,6999
2024,Brisbane,Shanghai,Inbound,Passengers,2179
2024,Brisbane,Singapore,Inbound,Passengers,34231
2024,Brisbane,Taipei,Inbound,Passengers,5999
2024,Brisbane,Tokyo,Inbound,Passengers,12754
2024,Brisbane,Vancouver,Inbound,Passengers,5270
2024,Brisbane,Wellington,Inbound,Passengers,6996
2024,Broome,Singapore,Inbound,Passengers,0
2024,Broome,Total,Inbound,Passengers,0
2024,Cairns,Auckland,Inbound,Passengers,1136
2024,Cairns,Christchurch,Inbound,Passengers,0
2024,Cairns,Denpasar,Inbound,Passengers,2718
2024,Cairns,Nadi,Inbound,Passengers,0
2024,Cairns,Osaka,Inbound,Passengers,3558
2024,Cairns,Port Moresby,Inbound,Passengers,1467
2024,Cairns,Singapore,Inbound,Passengers,3424
2024,Cairns,Tokyo,Inbound,Passengers,8140
2024,Canberra,Nadi,Inbound,Passengers,1048
2024,Darwin,Denpasar,Inbound,Passengers,3639
2024,Darwin,Dili,Inbound,Passengers,1187
2024,Darwin,Singapore,Inbound,Passengers,4016
2024,Gold Coast,Auckland,Inbound,Passengers,12583
2024,Gold Coast,Christchurch,Inbound,Passengers,3306
2024,Gold Coast,Denpasar,Inbound,Passengers,2720
2024,Gold Coast,Queenstown,Inbound,Passengers,1737
2024,Gold Coast,Wellington,Inbound,Passengers,2355
2024,Melbourne,Abu Dhabi,Inbound,Passengers,5843
2024,Melbourne,Auckland,Inbound,Passengers,36649
2024,Melbourne,Bandar Seri Begawan,Inbound,Passengers,1807
2024,Melbourne,Bangkok,Inbound,Passengers,15048
2024,Melbourne,Beijing,Inbound,Passengers,4309
2024,Melbourne,Bombay,Inbound,Passengers,2968
2024,Melbourne,Chengdu,Inbound,Passengers,2808
2024,Melbourne,Chicago,Inbound,Passengers,0
2024,Melbourne,Christchurch,Inbound,Passengers,10477
2024,Melbourne,Colombo,Inbound,Passengers,7716
2024,Melbourne,Dallas,Inbound,Passengers,2104
2024,Melbourne,Denpasar,Inbound,Passengers,40267
2024,Melbourne,Doha,Inbound,Passengers,13241
2024,Melbourne,Dubai,Inbound,Passengers,19355
2024,Melbourne,Guangzhou,Inbound,Passengers,9756
2024,Melbourne,Haikou,Inbound,Passengers,2201
2024,Melbourne,Hangzhou,Inbound,Passengers,0
2024,Melbourne,Hanoi,Inbound,Passengers,1416
2024,Melbourne,Ho Chi Minh City,Inbound,Passengers,16239
2024,Melbourne,Hong Kong,Inbound,Passengers,17067
2024,Melbourne,Honolulu,Inbound,Passengers,2553
2024,Melbourne,Istanbul,Inbound,Passengers,1155
2024,Melbourne,Jakarta,Inbound,Passengers,1953
2024,Melbourne,Kuala Lumpur,Inbound,Passengers,19452
2024,Melbourne,London,Inbound,Passengers,1195
2024,Melbourne,Los Angeles,Inbound,Passengers,10310
2024,Melbourne,Manila,Inbound,Passengers,8521
2024,Melbourne,Nadi,Inbound,Passengers,11419
2024,Melbourne,Nanjing,Inbound,Passengers,0
2024,Melbourne,New Delhi,Inbound,Passengers,9826
2024,Melbourne,New York,Inbound,Passengers,0
2024,Melbourne,Noumea,Inbound,Passengers,403
2024,Melbourne,Phuket,Inbound,Passengers,4029
2024,Melbourne,Port Vila,Inbound,Passengers,82
2024,Melbourne,Qingdao,Inbound,Passengers,643
2024,Melbourne,Queenstown,Inbound,Passengers,5406
2024,Melbourne,San Francisco,Inbound,Passengers,5269
2024,Melbourne,Santiago,Inbound,Passengers,3185
2024,Melbourne,Seoul,Inbound,Passengers,0
2024,Melbourne,Shanghai,Inbound,Passengers,9246
2024,Melbourne,Singapore,Inbound,Passengers,64515
2024,Melbourne,Taipei,Inbound,Passengers,3017
2024,Melbourne,Tokyo,Inbound,Passengers,9597
2024,Melbourne,Wellington,Inbound,Passengers,6911
2024,Melbourne,Xiamen,Inbound,Passengers,5544
2024,Perth,Auckland,Inbound,Passengers,9216
2024,Perth,Bangkok,Inbound,Passengers,3855
2024,Perth,Denpasar,Inbound,Passengers,39728
2024,Perth,Doha,Inbound,Passengers,9095
2024,Perth,Dubai,Inbound,Passengers,8331
2024,Perth,Ho Chi Minh City,Inbound,Passengers,2580
2024,Perth,Hong Kong,Inbound,Passengers,5139
2024,Perth,Jakarta,Inbound,Passengers,2836
2024,Perth,Johannesburg,Inbound,Passengers,2100
2024,Perth,Kuala Lumpur,Inbound,Passengers,24310
2024,Perth,London,Inbound,Passengers,4621
2024,Perth,Manila,Inbound,Passengers,1454
2024,Perth,Mauritius,Inbound,Passengers,1849
2024,Perth,Paris,Inbound,Passengers,0
2024,Perth,Phuket,Inbound,Passengers,0
2024,Perth,Singapore,Inbound,Passengers,55565
2024,Perth,Tokyo,Inbound,Passengers,0
2024,Sunshine Coast,Auckland,Inbound,Passengers,0
2024,Sydney,Abu Dhabi,Inbound,Passengers,7828
2024,Sydney,Auckland,Inbound,Passengers,49980
2024,Sydney,Bangalore,Inbound,Passengers,4799
2024,Sydney,Bangkok,Inbound,Passengers,20116
2024,Sydney,Beijing,Inbound,Passengers,4235
2024,Sydney,Chengdu,Inbound,Passengers,3175
2024,Sydney,Chicago,Inbound,Passengers,0
2024,Sydney,Chongqing,Inbound,Passengers,539
2024,Sydney,Christchurch,Inbound,Passengers,14333
2024,Sydney,Colombo,Inbound,Passengers,2986
2024,Sydney,Dallas,Inbound,Passengers,5274
2024,Sydney,Denpasar,Inbound,Passengers,35058
2024,Sydney,Doha,Inbound,Passengers,11790
2024,Sydney,Dubai,Inbound,Passengers,26998
2024,Sydney,Gaborone,Inbound,Passengers,0
2024,Sydney,Guangzhou,Inbound,Passengers,15180
2024,Sydney,Haikou,Inbound,Passengers,2774
2024,Sydney,Hangzhou,Inbound,Passengers,1080
2024,Sydney,Hanoi,Inbound,Passengers,2398
2024,Sydney,Ho Chi Minh City,Inbound,Passengers,14677
2024,Sydney,Hong Kong,Inbound,Passengers,25967
2024,Sydney,Honolulu,Inbound,Passengers,13557
2024,Sydney,Istanbul,Inbound,Passengers,0
2024,Sydney,Jakarta,Inbound,Passengers,9358
2024,Sydney,Jinan,Inbound,Passengers,1271
2024,Sydney,Johannesburg,Inbound,Passengers,4922
2024,Sydney,Kuala Lumpur,Inbound,Passengers,18110
2024,Sydney,London,Inbound,Passengers,9026
2024,Sydney,Los Angeles,Inbound,Passengers,29100
2024,Sydney,Louisville,Inbound,Passengers,0
2024,Sydney,Manila,Inbound,Passengers,17882
2024,Sydney,Nadi,Inbound,Passengers,24052
