DateID,AUS_CityID,FOR_CityID,Metric,Direction,Amount
202401,1,15,Freight_tonnes,Inbound,9.4
202402,1,15,Freight_tonnes,Inbound,9.4
202403,1,15,Freight_tonnes,Inbound,9.4
202404,1,15,Freight_tonnes,Inbound,9.4
202405,1,15,Freight_tonnes,Inbound,9.4
202406,1,15,Freight_tonnes,Inbound,9.4
202407,1,15,Freight_tonnes,Inbound,9.4
202408,1,15,Freight_tonnes,Inbound,9.4
202409,1,15,Freight_tonnes,Inbound,9.4
202410,1,15,Freight_tonnes,Inbound,9.4
202411,1,15,Freight_tonnes,Inbound,9.4
202412,1,15,Freight_tonnes,Inbound,9.4
202501,1,15,Freight_tonnes,Inbound,6.1
202502,1,15,Freight_tonnes,Inbound,6.1
202503,1,15,Freight_tonnes,Inbound,6.1
202504,1,15,Freight_tonnes,Inbound,6.1
202505,1,15,Freight_tonnes,Inbound,6.1
202506,1,15,Freight_tonnes,Inbound,6.1
202507,1,15,Freight_tonnes,Inbound,6.1
202508,1,15,Freight_tonnes,Inbound,6.1
202509,1,15,Freight_tonnes,Inbound,6.1
202510,1,15,Freight_tonnes,Inbound,6.1
202511,1,15,Freight_tonnes,Inbound,6.1
202512,1,15,Freight_tonnes,Inbound,6.1
202401,1,15,Freight_tonnes,Outbound,2.9
202402,1,15,Freight_tonnes,Outbound,2.9
202403,1,15,Freight_tonnes,Outbound,2.9
202404,1,15,Freight_tonnes,Outbound,2.9
202405,1,15,Freight_tonnes,Outbound,2.9
202406,1,15,Freight_tonnes,Outbound,2.9
202407,1,15,Freight_tonnes,Outbound,2.9
202408,1,15,Freight_tonnes,Outbound,2.9
202409,1,15,Freight_tonnes,Outbound,2.9
202410,1,15,Freight_tonnes,Outbound,2.9
202411,1,15,Freight_tonnes,Outbound,2.9
202412,1,15,Freight_tonnes,Outbound,2.9
202501,1,15,Freight_tonnes,Outbound,5.6
202502,1,15,Freight_tonnes,Outbound,5.6
202503,1,15,Freight_tonnes,Outbound,5.6
202504,1,15,Freight_tonnes,Outbound,5.6
202505,1,15,Freight_tonnes,Outbound,5.6
202506,1,15,Freight_tonnes,Outbound,5.6
202507,1,15,Freight_tonnes,Outbound,5.6
202508,1,15,Freight_tonnes,Outbound,5.6
202509,1,15,Freight_tonnes,Outbound,5.6
202510,1,15,Freight_tonnes,Outbound,5.6
202511,1,15,Freight_tonnes,Outbound,5.6
202512,1,15,Freight_tonnes,Outbound,5.6
202401,1,15,Passengers,Inbound,2321.0
202402,1,15,Passengers,Inbound,2321.0
202403,1,15,Passengers,Inbound,2321.0
202404,1,15,Passengers,Inbound,2321.0
202405,1,15,Passengers,Inbound,2321.0
202406,1,15,Passengers,Inbound,2321.0
202407,1,15,Passengers,Inbound,2321.0
202408,1,15,Passengers,Inbound,2321.0
202409,1,15,Passengers,Inbound,2321.0
202410,1,15,Passengers,Inbound,2321.0
202411,1,15,Passengers,Inbound,2321.0
202412,1,15,Passengers,Inbound,2321.0
202501,1,15,Passengers,Inbound,2641.0
202502,1,15,Passengers,Inbound,2641.0
202503,1,15,Passengers,Inbound,2641.0
202504,1,15,Passengers,Inbound,2641.0
202505,1,15,Passengers,Inbound,2641.0
202506,1,15,Passengers,Inbound,2641.0
202507,1,15,Passengers,Inbound,2641.0
202508,1,15,Passengers,Inbound,2641.0
202509,1,15,Passengers,Inbound,2641.0
202510,1,15,Passengers,Inbound,2641.0
202511,1,15,Passengers,Inbound,2641.0
202512,1,15,Passengers,Inbound,2641.0
202401,1,15,Passengers,Outbound,2296.0
202402,1,15,Passengers,Outbound,2296.0
202403,1,15,Passengers,Outbound,2296.0
202404,1,15,Passengers,Outbound,2296.0
202405,1,15,Passengers,Outbound,2296.0
202406,1,15,Passengers,Outbound,2296.0
202407,1,15,Passengers,Outbound,2296.0
202408,1,15,Passengers,Outbound,2296.0
202409,1,15,Passengers,Outbound,2296.0
202410,1,15,Passengers,Outbound,2296.0
202411,1,15,Passengers,Outbound,2296.0
202412,1,15,Passengers,Outbound,2296.0
202501,1,15,Passengers,Outbound,2679.0
202502,1,15,Passengers,Outbound,2679.0
202503,1,15,Passengers,Outbound,2679.0
202504,1,15,Passengers,Outbound,2679.0
202505,1,15,Passengers,Outbound,2679.0
202506,1,15,Passengers,Outbound,2679.0
